LR,Hidden_Dim,Epochs,Reg,Batch_Size,Activation,Dropout_p,Val_Accuracy
0.01,128,10,0.0001,100,ReLU,0.8,0.8514
0.01,128,10,0.0001,100,ReLU,0.5,0.8532
0.01,128,10,0.0001,100,ReLU,1.0,0.8549
0.01,128,10,0.0001,100,Sigmoid,0.8,0.7754
0.01,128,10,0.0001,100,Sigmoid,0.5,0.7781
0.01,128,10,0.0001,100,Sigmoid,1.0,0.7761
0.01,128,10,0.0001,100,Leaky ReLU,0.8,0.8530
0.01,128,10,0.0001,100,Leaky ReLU,0.5,0.8529
0.01,128,10,0.0001,100,Leaky ReLU,1.0,0.8549
0.01,128,10,0.0001,200,ReLU,0.8,0.8282
0.01,128,10,0.0001,200,ReLU,0.5,0.8234
0.01,128,10,0.0001,200,ReLU,1.0,0.8316
0.01,128,10,0.0001,200,Sigmoid,0.8,0.7225
0.01,128,10,0.0001,200,Sigmoid,0.5,0.7267
0.01,128,10,0.0001,200,Sigmoid,1.0,0.7114
0.01,128,10,0.0001,200,Leaky ReLU,0.8,0.8286
0.01,128,10,0.0001,200,Leaky ReLU,0.5,0.8231
0.01,128,10,0.0001,200,Leaky ReLU,1.0,0.8313
0.01,128,10,0.0001,300,ReLU,0.8,0.8048
0.01,128,10,0.0001,300,ReLU,0.5,0.7997
0.01,128,10,0.0001,300,ReLU,1.0,0.8060
0.01,128,10,0.0001,300,Sigmoid,0.8,0.6204
0.01,128,10,0.0001,300,Sigmoid,0.5,0.6439
0.01,128,10,0.0001,300,Sigmoid,1.0,0.6041
0.01,128,10,0.0001,300,Leaky ReLU,0.8,0.8049
0.01,128,10,0.0001,300,Leaky ReLU,0.5,0.7998
0.01,128,10,0.0001,300,Leaky ReLU,1.0,0.8061
0.01,128,10,0.001,100,ReLU,0.8,0.8528
0.01,128,10,0.001,100,ReLU,0.5,0.8522
0.01,128,10,0.001,100,ReLU,1.0,0.8546
0.01,128,10,0.001,100,Sigmoid,0.8,0.7744
0.01,128,10,0.001,100,Sigmoid,0.5,0.7779
0.01,128,10,0.001,100,Sigmoid,1.0,0.7752
0.01,128,10,0.001,100,Leaky ReLU,0.8,0.8529
0.01,128,10,0.001,100,Leaky ReLU,0.5,0.8520
0.01,128,10,0.001,100,Leaky ReLU,1.0,0.8546
0.01,128,10,0.001,200,ReLU,0.8,0.8279
0.01,128,10,0.001,200,ReLU,0.5,0.8229
0.01,128,10,0.001,200,ReLU,1.0,0.8313
0.01,128,10,0.001,200,Sigmoid,0.8,0.7222
0.01,128,10,0.001,200,Sigmoid,0.5,0.7259
0.01,128,10,0.001,200,Sigmoid,1.0,0.7105
0.01,128,10,0.001,200,Leaky ReLU,0.8,0.8282
0.01,128,10,0.001,200,Leaky ReLU,0.5,0.8226
0.01,128,10,0.001,200,Leaky ReLU,1.0,0.8312
0.01,128,10,0.001,300,ReLU,0.8,0.8045
0.01,128,10,0.001,300,ReLU,0.5,0.7997
0.01,128,10,0.001,300,ReLU,1.0,0.8061
0.01,128,10,0.001,300,Sigmoid,0.8,0.6195
0.01,128,10,0.001,300,Sigmoid,0.5,0.6436
0.01,128,10,0.001,300,Sigmoid,1.0,0.6033
0.01,128,10,0.001,300,Leaky ReLU,0.8,0.8046
0.01,128,10,0.001,300,Leaky ReLU,0.5,0.7998
0.01,128,10,0.001,300,Leaky ReLU,1.0,0.8063
0.01,128,10,0.005,100,ReLU,0.8,0.8510
0.01,128,10,0.005,100,ReLU,0.5,0.8501
0.01,128,10,0.005,100,ReLU,1.0,0.8530
