learning_rate,regularization,train_accuracy,val_accuracy
0.01,0.0001,0.858996,0.854464
0.01,0.0005,0.858571,0.853839
0.01,0.001,0.859353,0.853929
0.01,0.005,0.856585,0.851786
0.05,0.0001,0.869576,0.853661
0.05,0.0005,0.86904,0.853304
0.05,0.001,0.867545,0.852411
0.05,0.005,0.860134,0.852679
0.1,0.0001,0.867924,0.847232
0.1,0.0005,0.865067,0.845714
0.1,0.001,0.86971,0.854732
0.1,0.005,0.847388,0.840357
0.15,0.0001,0.871183,0.848929
0.15,0.0005,0.84096,0.819732
0.15,0.001,0.860179,0.845536
0.15,0.005,0.846518,0.838571
0.2,0.0001,0.868058,0.842857
0.2,0.0005,0.856205,0.834821
0.2,0.001,0.84192,0.826964
0.2,0.005,0.840536,0.833661
