LR,Hidden_Dim,Epochs,Reg,Batch_Size,Activation,Dropout_p,Val_Accuracy
0.1,256,20,0.0001,100,Leaky ReLU,1.0,0.8880
0.1,256,20,0.001,100,ReLU,1.0,0.8868
0.1,256,20,0.001,100,Leaky ReLU,1.0,0.8868
0.1,128,20,0.0001,100,ReLU,1.0,0.8857
0.1,128,20,0.001,100,ReLU,1.0,0.8856
0.1,128,20,0.001,100,Leaky ReLU,1.0,0.8854
0.1,256,20,0.005,100,Leaky ReLU,1.0,0.8849
0.1,256,20,0.001,100,Leaky ReLU,0.8,0.8846
0.1,256,20,0.0001,100,ReLU,0.8,0.8845
0.1,256,20,0.001,200,Leaky ReLU,1.0,0.8842
0.1,256,20,0.0001,100,ReLU,1.0,0.8842
0.1,128,20,0.0001,100,Leaky ReLU,1.0,0.8838
0.1,256,20,0.0001,200,ReLU,1.0,0.8836
0.1,256,20,0.001,100,ReLU,0.8,0.8835
0.1,256,20,0.0001,100,Leaky ReLU,0.8,0.8834
0.1,256,20,0.0001,200,ReLU,0.8,0.8832
0.05,256,20,0.0001,100,ReLU,1.0,0.8829
0.1,256,20,0.0001,200,Leaky ReLU,0.8,0.8829
0.05,256,20,0.001,100,ReLU,1.0,0.8826
0.1,256,20,0.001,200,Leaky ReLU,0.8,0.8823
0.1,256,20,0.1,100,Leaky ReLU,0.8,0.8822
0.1,128,20,0.001,100,Sigmoid,1.0,0.8821
0.1,256,20,0.001,200,ReLU,1.0,0.8821
0.1,256,20,0.001,100,Leaky ReLU,0.8,0.8812
0.1,256,20,0.0001,100,ReLU,0.5,0.8812
0.1,256,20,0.001,300,ReLU,0.8,0.8812
0.05,128,20,0.0001,100,ReLU,0.8,0.8813
0.1,128,20,0.0001,200,Leaky ReLU,1.0,0.8811
0.05,256,10,0.0001,100,ReLU,0.8,0.8811
0.1,128,20,0.0001,300,Leaky ReLU,0.8,0.8810
0.1,256,20,0.0001,300,Leaky ReLU,0.8,0.8810
0.05,256,20,0.001,200,Leaky ReLU,1.0,0.8809
0.05,128,20,0.0001,200,ReLU,1.0,0.8809
0.1,256,20,0.0001,200,ReLU,0.5,0.8808
0.1,128,20,0.0001,200,Leaky ReLU,0.8,0.8808
0.05,128,20,0.0001,100,ReLU,1.0,0.8807
0.1,128,20,0.0001,300,ReLU,0.8,0.8807
0.05,128,20,0.001,100,Leaky ReLU,1.0,0.8807
0.05,256,10,0.001,200,Leaky ReLU,1.0,0.8806
0.05,256,10,0.0001,100,ReLU,1.0,0.8806
0.1,256,20,0.0001,200,ReLU,0.8,0.8805
0.1,256,20,0.001,200,ReLU,0.8,0.8800
0.1,256,20,0.001,200,Leaky ReLU,0.8,0.8800
0.1,128,20,0.001,100,ReLU,0.8,0.8800
0.1,256,20,0.005,100,ReLU,1.0,0.8802
0.1,128,20,0.0001,300,ReLU,1.0,0.8802
0.1,128,20,0.0001,300,Leaky ReLU,1.0,0.8802
0.1,256,20,0.001,200,Leaky ReLU,0.5,0.8799
0.1,256,20,0.001,300,Leaky ReLU,0.5,0.8799
0.1,128,20,0.0001,300,ReLU,0.5,0.8796
